"","Serial","Date_Time","Temperature_C","Light_Lux","Date","Year","Month","Day","Hour","Minute","AMPM","Time.Decimal"
"73",20685432,"11/24/22 12:00:00 AM",1.439,0,2022-11-24,2022,11,24,12,0,"AM",12
"74",20685432,"11/24/22 12:30:00 AM",1.98,0,2022-11-24,2022,11,24,12,30,"AM",12.5
"75",20685432,"11/24/22 01:00:00 AM",1.764,0,2022-11-24,2022,11,24,1,0,"AM",1
"76",20685432,"11/24/22 01:30:00 AM",1.221,0,2022-11-24,2022,11,24,1,30,"AM",1.5
"77",20685432,"11/24/22 02:00:00 AM",1.003,0,2022-11-24,2022,11,24,2,0,"AM",2
"78",20685432,"11/24/22 02:30:00 AM",0.453,0,2022-11-24,2022,11,24,2,30,"AM",2.5
"79",20685432,"11/24/22 03:00:00 AM",0.674,0,2022-11-24,2022,11,24,3,0,"AM",3
"80",20685432,"11/24/22 03:30:00 AM",0.343,0,2022-11-24,2022,11,24,3,30,"AM",3.5
"81",20685432,"11/24/22 04:00:00 AM",0.453,0,2022-11-24,2022,11,24,4,0,"AM",4
"82",20685432,"11/24/22 04:30:00 AM",-0.325,0,2022-11-24,2022,11,24,4,30,"AM",4.5
"83",20685432,"11/24/22 05:00:00 AM",-0.662,0,2022-11-24,2022,11,24,5,0,"AM",5
"84",20685432,"11/24/22 05:30:00 AM",-1.001,0,2022-11-24,2022,11,24,5,30,"AM",5.5
"85",20685432,"11/24/22 06:00:00 AM",-1.114,0,2022-11-24,2022,11,24,6,0,"AM",6
"86",20685432,"11/24/22 06:30:00 AM",-1.341,0,2022-11-24,2022,11,24,6,30,"AM",6.5
"87",20685432,"11/24/22 07:00:00 AM",-1.57,21.5,2022-11-24,2022,11,24,7,0,"AM",7
"88",20685432,"11/24/22 07:30:00 AM",-1.341,215.3,2022-11-24,2022,11,24,7,30,"AM",7.5
"89",20685432,"11/24/22 08:00:00 AM",-1.001,796.5,2022-11-24,2022,11,24,8,0,"AM",8
"90",20685432,"11/24/22 08:30:00 AM",-0.102,2152.8,2022-11-24,2022,11,24,8,30,"AM",8.5
"91",20685432,"11/24/22 09:00:00 AM",3.049,3788.9,2022-11-24,2022,11,24,9,0,"AM",9
"92",20685432,"11/24/22 09:30:00 AM",3.893,5338.9,2022-11-24,2022,11,24,9,30,"AM",9.5
"93",20685432,"11/24/22 10:00:00 AM",4.311,4650,2022-11-24,2022,11,24,10,0,"AM",10
"94",20685432,"11/24/22 10:30:00 AM",5.244,4133.4,2022-11-24,2022,11,24,10,30,"AM",10.5
"95",20685432,"11/24/22 11:00:00 AM",7.079,5338.9,2022-11-24,2022,11,24,11,0,"AM",11
"96",20685432,"11/24/22 11:30:00 AM",7.983,3961.1,2022-11-24,2022,11,24,11,30,"AM",11.5
"97",20685432,"11/24/22 12:00:00 PM",9.176,2755.6,2022-11-24,2022,11,24,12,0,"PM",24
